date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"APR 4"," Waukon for Warren: Politics and Pizza ",31," IA","Gus and Tony's Pizza & Steak - 508 W. Main St., Waukon, IA",43.290026,-91.445754,1,place,,,Waukon,IA,"Allamakee County",52172,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 3"," Drake Pizza and Policy ",80," IA","Papa Keno's - Pizzeria 2330 University Ave, Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 3"," Dubuque Happy Hour ",32," IA","The Smokestack - 62 E 7th St Dubuque, IA",42.545412,-90.6963,1,place,,,Dubuque,IA,"Dubuque County",52001,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 3"," Waukee for Warren Coffee ",27," IA","Caribou Coffee - 1025 E Hickman Rd, Waukee, IA",41.59896,-93.875317,1,place,,,Waukee,IA,"Dallas County",50263,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 2"," Sioux City Persist Potluck ",55," IA","Sioux City, IA",42.494745,-96.399356,1,place,,,"Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 2"," Iowa City Pints & Persist ",142," IA","Joe's Place - 115 Iowa Ave, Iowa City, IA",41.634209,-91.49905,1,place,,,"Iowa City",IA,"Johnson County",52240,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 2"," Conversations in Clarinda ",34," IA","J Bruner's - 117 N 15th St, Clarinda, IA",40.738247,-95.108481,1,place,,,Clarinda,IA,"Page County",51632,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 31"," Grinnell CNN Town Hall Rewatch Party ",16," IA","Peace Tree Brewing Company - 923 Main St., Grinnell, IA",41.685324,-92.630258,1,place,,,Grinnell,IA,"Poweshiek County",50112,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 31"," Storm Lake Coffee & Chat ",19," IA","Coffee Tree - 730 Lake Ave N, Storm Lake, IA",42.693184,-95.151811,1,place,,,"Storm Lake",IA,"Buena Vista County",50588,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 30"," Heartland Forum Watch Party and Discussion ",2," IA","Kerp's - 223 E 5th St, Carroll, IA",42.042547,-94.8338,1,place,,,Carroll,IA,"Carroll County",51401,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 30"," Warren for Warren Heartland Forum Watch Party ",35," IA","Black Box, Kent Campus Center - 701 N C Street, Indianola, IA",41.314309,-93.588041,1,place,,,Indianola,IA,"Warren County",50125,US,"TIGER/Line® dataset from the US Census Bureau"
