date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"APR 15"," Central Piedmont Community College Town Hall ",543," NC","Central Piedmont Community College - Overcash Center Lawn 1206 Elizabeth Ave, Charlotte, NC",35.201947,-80.684673,1,street_center,,"Central Dr",Charlotte,NC,"Mecklenburg County",28227,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 14"," Clemson University Rally ",642," SC","Fike Recreation Center 110 Heisman St, Clemson, SC",34.681567,-82.815832,1,place,,,Clemson,SC,"Pickens County",29631,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 13"," Denmark Town Hall ",126," SC","Lawrence Memorial Auditorium, Massachusetts Hall at Voorhees College 481 Porter Drive ,Denmark, SC",33.237543,-81.104895,1,place,,,Denmark,SC,"Bamberg County",29042,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 13"," Biscuits with Beto Meet & Greet ",683," SC","Gilligan's Seafood Restaurant 3852 Ladson Rd, Ladson, SC",33.01317,-80.107174,1,place,,,Ladson,SC,"Berkeley County",29456,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 12"," Bluffton Town Hall ",577," SC","H.E. McCracken Middle School Gymnasium 250 H. E. McCracken Cir, Bluffton, SC",32.217752,-80.890837,0.33,place,,,Bluffton,SC,"Beaufort County",29910,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 7"," University of Iowa Town Hall ",854," IA","2nd Floor Ballroom, Iowa Memorial Union, Iowa City, IA",41.634209,-91.49905,0.33,place,,,"Iowa City",IA,"Johnson County",52240,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 6"," House Party at Mannheimer Residence ",288," IA","Home of Sarah & Zack Mannheimer, 1611 Woodland Ave, Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 6"," House Party at Blake Residence ",117," IA","Home of Andrea & Nathan Blake, 3727 SW 28th St, Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 6"," House Party at Ekhardt Residence ",199," IA","Home of Bill & Tracy Ekhardt, 620 42nd St, Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 6"," House Party at Weissenburger Residence ",175,,,0,0,0,,,,,,,,,
