,date,description,guests,state,location,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state_geo,state_fips,tiger_line,tract,zipcode
56,MAY 18, Environmental Justice Town Hall with Bernie Sanders ,346, SC,"Denmark Technical College, Denmark, SC",,, Denmark,,,",  Denmark,  SC, ",56,,No_Match,,,,, SC,,,,
57,MAY 18, Education Justice Town Hall in Orangeburg with Bernie Sanders ,244, SC,"Life Cathedral Church, Orangeburg, SC",,, Orangeburg,,,",  Orangeburg,  SC, ",57,,No_Match,,,,, SC,,,,
58,MAY 17, Rally in Charlotte with Bernie Sanders ,3923, NC,"1206 Elizabeth Ave, Charlotte, NC",,, Charlotte,,,",  Charlotte,  NC, ",58,,No_Match,,,,, NC,,,,
59,MAY 17, Rally in Asheville with Bernie Sanders ,8731, NC,"Salvage Station, Asheville, NC",,, Asheville,,,",  Asheville,  NC, ",59,,No_Match,,,,, NC,,,,
60,MAY 5, Rally in Sioux City with Bernie Sanders ,1207, IA,"Orpheum Theatre, Sioux City, IA",,, Sioux City,,,",  Sioux City,  IA, ",60,,No_Match,,,,, IA,,,,
61,MAY 5, Town Meeting in Spencer with Bernie Sanders ,275, IA,"800 W 18th St, Spencer, IA",,, Spencer,,,",  Spencer,  IA, ",61,,No_Match,,,,, IA,,,,
62,MAY 5, Policy Address on Agriculture and Rural Investment ,354, IA,"1006 Chestnut St, Osage, IA",,, Osage,,,",  Osage,  IA, ",62,,No_Match,,,,, IA,,,,
63,MAY 4, Town Meeting in Fort Dodge with Bernie Sanders ,186, IA,"1 Museum Rd, Fort Dodge, IA",,, Fort Dodge,,,",  Fort Dodge,  IA, ",63,,No_Match,,,,, IA,,,,
64,MAY 4, Town Meeting in Perry with Bernie Sanders ,130, IA,"McCreary Community Bldg, Perry, IA",,, Perry,,,",  Perry,  IA, ",64,,No_Match,,,,, IA,,,,
65,MAY 4, Rally in Ames with Bernie Sanders ,1097, IA,"Iowa State University Memorial Union, Ames, IA",,, Ames,,,",  Ames,  IA, ",65,,No_Match,,,,, IA,,,,
66,APR 25, Rally in Fort Worth with Bernie Sanders ,3686, TX,"Burnett ParkFort Worth, TX",,,Burnett ParkFort Worth,,,", Burnett ParkFort Worth,  TX, ",66,,No_Match,,,,, TX,,,,
67,APR 24, Rally in Houston with Bernie Sanders ,4502, TX,"Discovery Green, Houston, TX",,, Houston,,,",  Houston,  TX, ",67,,No_Match,,,,, TX,,,,
68,APR 19, Rally In Greenville with Bernie Sanders ,2992, SC,"Gunter Theater, Greenville, SC",,, Greenville,,,",  Greenville,  SC, ",68,,No_Match,,,,, SC,,,,
69,APR 14, Rally in Pittsburgh with Bernie Sanders ,6845, PA,"Schenley Plaza, Pittsburgh, PA",,, Pittsburgh,,,",  Pittsburgh,  PA, ",69,,No_Match,,,,, PA,,,,
70,APR 13," Rally in Warren, MI with Bernie Sanders ",4294, MI,"28466 Bunert Rd, Warren, MI",,, Warren,,,",  Warren,  MI, ",70,,No_Match,,,,, MI,,,,
71,APR 12, Rally in Madison with Bernie Sanders ,6084, WI,"James Madison Park, Madison, WI",,, Madison,,,",  Madison,  WI, ",71,,No_Match,,,,, WI,,,,
72,APR 7, Town Meeting in Malcom with Bernie Sanders ,373, IA,"212 Main St, Malcom, IA",,, Malcom,,,",  Malcom,  IA, ",72,,No_Match,,,,, IA,,,,
73,APR 7, Town Meeting in Oskaloosa with Bernie Sanders ,365, IA,"Oskaloosa, IA",,,Oskaloosa,,,", Oskaloosa,  IA, ",73,,No_Match,,,,, IA,,,,
74,APR 6, Rally in Fairfield with Bernie Sanders ,454, CT,"Fairfield, CT",,,Fairfield,,,", Fairfield,  CT, ",74,,No_Match,,,,, CT,,,,
75,APR 6," Town Meeting in Burlington, Iowa, with Bernie Sanders ",1105, IA,"Aldo Leopold Middle School ,Burlington, IA",,,Burlington,,,", Burlington,  IA, ",75,,No_Match,,,,, IA,,,,
76,APR 6, Town Meeting in Muscatine with Bernie Sanders ,693, IA,"600 Kindler Ave, Muscatine, IA",,, Muscatine,,,",  Muscatine,  IA, ",76,,No_Match,,,,, IA,,,,
77,APR 5, Rally in Davenport with Bernie Sanders ,2247,IA,"Davenport, IA",,,Davenport,,,", Davenport,  IA, ",77,,No_Match,,,,, IA,,,,
78,MAR 24, Rally in San Francisco with Bernie Sanders ,14442, CA,"Fort Mason Great Meadow, San Francisco, CA",,, San Francisco,,,",  San Francisco,  CA, ",78,,No_Match,,,,, CA,,,,
79,MAR 23, Rally in Los Angeles with Bernie Sanders ,24155, CA,"Grand Park, Los Angeles, CA",,, Los Angeles,,,",  Los Angeles,  CA, ",79,,No_Match,,,,, CA,,,,
80,MAR 22, Rally in San Diego with Bernie Sanders ,10081, CA,"Waterfront Park, San Diego, CA",,, San Diego,,,",  San Diego,  CA, ",80,,No_Match,,,,, CA,,,,
81,MAR 16, Rally in Henderson with Bernie Sanders ,5337, NV,"500 Harris St, Henderson, NV",,, Henderson,,,",  Henderson,  NV, ",81,,No_Match,,,,, NV,,,,
